IDENTIFIER,SERIAL,NODE,NODEALIAS,MANAGER,AGENT,ALERTGROUP,ALERTKEY,SEVERITY,SUMMARY,STATECHANGE,FIRSTOCCURRENCE,LASTOCCURRENCE,LASTMODIFIED,POLL,TYPE,TALLY,CLASS,GRADE,LOCATION,OWNERUID,OWNERGID,ACKNOWLEDGED,FLASH,EVENTID,EXPIRETIME,PROCESSREQ,SUPPRESSESCL,CUSTOMER,SERVICE,TASKLIST,SERVERNAME,SERVERSERIAL,ORIGINALSEVERITY,COMPONENT,COMPONENTTYPE,CUSTOMERCODE,HWTYPE,IBMMANAGED,INSTANCESITUATION,OSTYPE,RESOURCEID,RESOURCETYPE,RESOURCEUSAGE,SUBCOMPONENT,SUPPORTORG,TICKETGROUP,ZHNOTIFYGROUP,ZPROCESSSTATE,ZTICKETSEVERITY,ACKEDBY,CLEAREDBY,OPERATORMESSAGE,DELETEDAT,TICKETNUMBER,INSTANCEID,ZHNOTIFYSTATE,ZBNOTIFYSTATE,ZGENERICACTIONSTATE,ZGENERICACTIONRESULTS,ZTICKETSTATE,CONSOLE,ZDCONSOLETYPE,D_CLIENT_ID,DURATION,GACDW_UID,CHIP_ID,UID,HOSTNAME,FQHN,IP_ADDRESS,AMTICKET,LASTMODIFIEDTIME,TOOL_SOURCE,TOOL_CUSTOMERCODE,FIRSTOCCURRENCE_UTC,LASTOCCURRENCE_UTC,DURATION
ccc_tra_xuxw_std:ccc_pchix100:KUX::ITM_System                                                                                                                                                                                                                  ,52-006-013,ccc_pchix100,161.162.244.20,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_System,ccc_tra_xuxw_std,0,System is thrashing.  PageIn: 1805  PageOut: 838,2016-06-02-01.55.23.000000,2016-06-02-01.48.23.000000,2016-06-02-01.48.23.000000,2016-06-02-01.55.23.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-013,2,UNIX,OperatingSystem,ccc,,0,15 Minute Average PageIn/PageOut,,pchix100.scaletccs.com,0,,Performance,,,,12,0,,ClearingEvent,,2016-06-02-02.17.05.000000,,Paging,0,0,0,,0,,Master,299,0,,,22-943-648,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464803303,1464803303,0
ccc_cpu_xuxc_std:ccc_pcrix103:KUX:-1:ITM_SMP_CPU                                                                                                                                                                                                               ,52-006-054,ccc_pcrix103,161.162.244.30,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_SMP_CPU,ccc_cpu_xuxc_std,0,CPU Workload High (98) or CPU Offline (CPU: -1 Status: on-line),2016-06-02-02.49.23.000000,2016-06-02-01.54.23.000000,2016-06-02-01.54.23.000000,2016-06-02-02.49.23.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-054,4,UNIX,ComputerSystem,ccc,,0,cpu_busy : CPU Status,,pcrix103.scaletccs.com,0,,CPU,,,,12,0,,ClearingEvent,,2016-06-02-03.11.06.000000,,-1 aggregate,0,0,0,,0,,Master,299,0,,,22-943-747,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464803663,1464803663,0
ccc_srvqful_xvaw_std:ccc_rocviof5san1:VA::ITM_KVA_DISKS                                                                                                                                                                                                        ,52-006-108,ccc_rocviof5san1,161.162.241.183,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_srvqful_xvaw_std,0,High rate disk service queue becomes full. hdisk115_Path1:6,2016-06-02-02.02.25.000000,2016-06-02-02.01.25.000000,2016-06-02-02.01.25.000000,2016-06-02-02.02.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-108,2,AIX,ComputerSystem,ccc,,0,Disk service queue full,,rocviof5san1.scaletccs.com,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-02.24.05.000000,,hdisk115_Path1,0,0,0,,0,,Master,299,0,,,22-943-220,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464804085,1464804085,0
ccc_srvqful_xvaw_std:ccc_rocviof7san2:VA::ITM_KVA_DISKS                                                                                                                                                                                                        ,52-006-107,ccc_rocviof7san2,161.162.241.196,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_srvqful_xvaw_std,0,High rate disk service queue becomes full. hdisk152_Path1:10,2016-06-02-02.02.25.000000,2016-06-02-02.01.25.000000,2016-06-02-02.01.25.000000,2016-06-02-02.02.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-107,2,AIX,ComputerSystem,ccc,,0,Disk service queue full,,rocviof7san2.scaletccs.com,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-02.24.05.000000,,hdisk152_Path1,0,0,0,,0,,Master,299,0,,,22-943-666,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464804085,1464804085,0
ccc_srvqful_xvaw_std:ccc_rocviof9p1:VA::ITM_KVA_DISKS                                                                                                                                                                                                          ,52-006-122,ccc_rocviof9p1,161.162.241.219,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_srvqful_xvaw_std,0,Cleared and Re-fired: High rate disk service queue becomes full. hdisk535_Path7:8,2016-06-02-02.37.25.000000,2016-06-02-02.03.25.000000,2016-06-02-02.35.25.000000,2016-06-02-02.37.25.000000,0,20,3,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-122,2,AIX,ComputerSystem,ccc,,0,Disk service queue full,,,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-02.59.06.000000,,hdisk535_Path7,0,0,0,,0,,Master,299,0,,,22-943-154,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464804205,1464806125,1920
ccc_cpu_xvac_std:ccc_rocviof4san2:VA::ITM_KVA_CPU_SUMMARY                                                                                                                                                                                                      ,52-006-284,ccc_rocviof4san2,161.162.241.179,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_CPU_SUMMARY,ccc_cpu_xvac_std,0,High CPU. Only 4% cpu idle.,2016-06-02-02.23.25.000000,2016-06-02-02.22.25.000000,2016-06-02-02.22.25.000000,2016-06-02-02.23.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-284,4,AIX,ComputerSystem,ccc,,0,Percent cpu idle,,rocviof4san2.scaletccs.com,0,,CPU,,,,12,0,,ClearingEvent,,2016-06-02-02.45.05.000000,,CPU IDLE,0,0,0,,0,,Master,299,0,,,22-943-729,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464805345,1464805345,0
ccc_tra_xuxw_std:ccc_pcxix100:KUX::ITM_System                                                                                                                                                                                                                  ,52-006-494,ccc_pcxix100,161.162.244.16,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_System,ccc_tra_xuxw_std,0,System is thrashing.  PageIn: 696  PageOut: 10701,2016-06-02-08.45.23.000000,2016-06-02-02.45.23.000000,2016-06-02-02.45.23.000000,2016-06-02-08.45.23.000000,0,20,1,6-601,1,,65-534,0,1,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-494,2,UNIX,OperatingSystem,ccc,,0,15 Minute Average PageIn/PageOut,,pcxix100.scaletccs.com,0,,Performance,,,,12,0,Ranita Mishra Mishra,ClearingEvent,,2016-06-02-09.07.10.000000,,Paging,0,0,0,,0,,Master,299,0,,,22-943-270,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464806723,1464806723,0
ccc_adskprc_xvac_std:ccc_rocviof7san1:VA::ITM_KVA_DISKS                                                                                                                                                                                                        ,52-006-496,ccc_rocviof7san1,161.162.241.195,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_adskprc_xvac_std,0,High disk percent busy:hdisk118_Path2:95.7%,2016-06-02-02.47.25.000000,2016-06-02-02.46.25.000000,2016-06-02-02.46.25.000000,2016-06-02-02.47.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-496,4,AIX,ComputerSystem,ccc,,0,Percent disk active,,rocviof7san1.scaletccs.com,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-03.09.06.000000,,hdisk118_Path2,0,0,0,,0,,Master,299,0,,,22-943-335,,,,,2016-07-25-21.52.06.000000,NETCOL01,ccc,1464806785,1464806785,0
ccc_srvqful_xvaw_std:ccc_rocviof6san1:VA::ITM_KVA_DISKS                                                                                                                                                                                                        ,52-006-604,ccc_rocviof6san1,161.162.241.185,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_srvqful_xvaw_std,0,High rate disk service queue becomes full. hdisk0_Path0:23,2016-06-02-02.58.25.000000,2016-06-02-02.57.25.000000,2016-06-02-02.57.25.000000,2016-06-02-02.58.25.000000,0,20,1,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-604,2,AIX,ComputerSystem,ccc,,0,Disk service queue full,,rocviof6san1.scaletccs.com,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-03.20.06.000000,,hdisk0_Path0,0,0,0,,0,,Master,299,0,,,23-042-725,,,,,2016-07-25-23.26.12.000000,NETCOL01,ccc,1464807445,1464807445,0
ccc_srvqful_xvaw_std:ccc_rocviof9p1:VA::ITM_KVA_DISKS                                                                                                                                                                                                          ,52-006-618,ccc_rocviof9p1,161.162.241.219,EIF Probe on usrd0no1p0allxa,EIF Probe on usrd0no1p0allxa,ITM_KVA_DISKS,ccc_srvqful_xvaw_std,0,Cleared and Re-fired: High rate disk service queue becomes full. hdisk535_Path7:10,2016-06-02-03.05.25.000000,2016-06-02-02.59.25.000000,2016-06-02-03.03.25.000000,2016-06-02-03.05.25.000000,0,20,2,6-601,1,,65-534,0,0,0,,0,0,0,Coca-Cola Company,,0,USRD0P0ALLP,52-006-618,2,AIX,ComputerSystem,ccc,,0,Disk service queue full,,,0,,Disk,,,,12,0,,ClearingEvent,,2016-06-02-03.27.06.000000,,hdisk6_Path1,0,0,0,,0,,Master,299,0,,,23-043-616,,,,,2016-07-25-23.26.12.000000,NETCOL01,ccc,1464807565,1464807805,240
